name,vrom_start,vrom_end,rom_start,rom_end,vram_start,overlay_dir
boot,1060,1C050,1060,0,80080060,
code,B5F000,C9BA60,AC5240,B82260,800A75E0,
ovl_title,C9BA60,C9C530,B82260,B82A00,80800000,gamestates
ovl_select,C9C530,C9FA40,B82A00,B84980,80800AD0,gamestates
ovl_opening,C9FA40,C9FD30,B84980,B84BB0,80803FE0,gamestates
ovl_file_choose,C9FD30,CB0630,B84BB0,B8E330,808042D0,gamestates
ovl_daytelop,CB0630,CB1820,B8E330,B8EA90,80814BF0,gamestates
ovl_kaleido_scope,CB1820,CC9C60,B8EA90,B9D130,80815DE0,kaleido_scope
ovl_player_actor,CC9C60,CFE940,B9D130,BC0AC0,8082E260,actors
ovl_En_Test,CFE940,CFF650,BC0AC0,BC1550,80863060,actors
ovl_En_GirlA,CFF650,D01150,BC1550,BC2210,80863D70,actors
ovl_En_Part,D01150,D01770,BC2210,BC2760,80865870,actors
ovl_En_Light,D01770,D025D0,BC2760,BC3150,80865E90,actors
ovl_En_Door,D025D0,D03990,BC3150,BC40E0,80866CF0,actors
ovl_En_Box,D03990,D05B40,BC40E0,BC5970,808680C0,actors
ovl_En_Pametfrog,D05B40,D09BD0,BC5970,BC83F0,8086A270,actors
ovl_En_Okuta,D09BD0,D0CBC0,BC83F0,BCA570,8086E300,actors
ovl_En_Bom,D0CBC0,D10460,BCA570,BCCA10,808712F0,actors
ovl_En_Wallmas,D10460,D122C0,BCCA10,BCDF90,80874D50,actors
ovl_En_Dodongo,D122C0,D15340,BCDF90,BD01D0,80876BB0,actors
ovl_En_Firefly,D15340,D17310,BD01D0,BD17F0,80879C30,actors
ovl_En_Horse,D17310,D25EE0,BD17F0,BDA240,8087BC00,actors
ovl_En_Arrow,D25EE0,D28160,BDA240,BDBAC0,8088A7D0,actors
ovl_En_Elf,D28160,D2CCB0,BDBAC0,BDEE20,8088CA50,actors
ovl_En_Niw,D2CCB0,D2F520,BDEE20,BE0C10,808915A0,actors
ovl_En_Tite,D2F520,D32C60,BE0C10,BE3150,80893E10,actors
ovl_En_Peehat,D32C60,D35680,BE3150,BE4E50,80897550,actors
ovl_En_Holl,D35680,D36400,BE4E50,BE5890,80899F70,actors
ovl_En_Dinofos,D36400,D3A600,BE5890,BE8430,8089ACF0,actors
ovl_En_Hata,D3A600,D3AAB0,BE8430,BE8860,8089EEF0,actors
ovl_En_Zl1,D3AAB0,D3AB40,BE8860,BE88C0,8089F3A0,actors
ovl_En_Viewer,D3AB40,D3B1F0,BE88C0,BE8DB0,8089F430,actors
ovl_En_Bubble,D3B1F0,D3C600,BE8DB0,BE9CF0,8089FAF0,actors
ovl_Door_Shutter,D3C600,D3E1E0,BE9CF0,BEB110,808A0F00,actors
ovl_En_Boom,D3E1E0,D3EEC0,BEB110,BEBC10,808A2AE0,actors
ovl_En_Torch2,D3EEC0,D3F380,BEBC10,BEC030,808A37C0,actors
ovl_En_Minifrog,D3F380,D40D60,BEC030,BED2C0,808A3C80,actors
ovl_En_St,D40D60,D436E0,BED2C0,BEEFD0,808A5660,actors
ovl_Obj_Wturn,D436E0,D43BE0,BEEFD0,BEF3C0,808A7FE0,actors
ovl_En_River_Sound,D43BE0,D43E30,BEF3C0,BEF5F0,808A84E0,actors
ovl_En_Ossan,D43E30,D48780,BEF5F0,BF2240,808A8730,actors
ovl_En_Famos,D48780,D4A720,BF2240,BF3710,808AD080,actors
ovl_En_Bombf,D4A720,D4BB30,BF3710,BF46D0,808AF020,actors
ovl_En_Am,D4BB30,D4D190,BF46D0,BF56F0,808B0430,actors
ovl_En_Dekubaba,D4D190,D51090,BF56F0,BF8030,808B1A90,actors
ovl_En_M_Fire1,D51090,D51220,BF8030,BF8180,808B5990,actors
ovl_En_M_Thunder,D51220,D531C0,BF8180,BF9610,808B5B20,actors
ovl_Bg_Breakwall,D531C0,D542F0,BF9610,BFA200,808B7AC0,actors
ovl_Door_Warp1,D542F0,D57F30,BFA200,BFC950,808B8BF0,actors
ovl_Obj_Syokudai,D57F30,D58D00,BFC950,BFD480,808BC840,actors
ovl_Item_B_Heart,D58D00,D590F0,BFD480,BFD7B0,808BD620,actors
ovl_En_Dekunuts,D590F0,D5B130,BFD7B0,BFED30,808BDA10,actors
ovl_En_Bbfall,D5B130,D5CF40,BFED30,C00430,808BFA50,actors
ovl_Arms_Hook,D5CF40,D5DC50,C00430,C00E90,808C1860,actors
ovl_En_Bb,D5DC50,D5F960,C00E90,C02440,808C2570,actors
ovl_Bg_Keikoku_Spr,D5F960,D5FB10,C02440,C025B0,808C4280,actors
ovl_En_Wood02,D5FB10,D60E80,C025B0,C03500,808C4430,actors
ovl_En_Death,D60E80,D65FB0,C03500,C06D80,808C57B0,actors
ovl_En_Minideath,D65FB0,D68150,C06D80,C08520,808CA8E0,actors
ovl_En_Vm,D68150,D69630,C08520,C09500,808CCA90,actors
ovl_Demo_Effect,D69630,D6A340,C09500,C09FA0,808CDF70,actors
ovl_Demo_Kankyo,D6A340,D6C570,C09FA0,C0B5F0,808CEC80,actors
ovl_En_Floormas,D6C570,D6FD10,C0B5F0,C0D900,808D0EB0,actors
ovl_En_Rd,D6FD10,D73440,C0D900,C0F9E0,808D4650,actors
ovl_Bg_F40_Flift,D73440,D737C0,C0F9E0,C0FCB0,808D7D80,actors
ovl_Bg_Heavy_Block,D737C0,D75040,C0FCB0,C10EB0,808D8100,actors
ovl_Obj_Mure,D75040,D760B0,C10EB0,C11A30,808D9980,actors
ovl_En_Sw,D760B0,D795F0,C11A30,C13F90,808DA9F0,actors
ovl_Object_Kankyo,D795F0,D7BD20,C13F90,C15A60,808DDF30,actors
ovl_En_Horse_Link_Child,D7BD20,D7D930,C15A60,C16B00,808E0670,actors
ovl_Door_Ana,D7D930,D7DFC0,C16B00,C17040,808E2280,actors
ovl_En_Encount1,D7DFC0,D7E6D0,C17040,C17590,808E2910,actors
ovl_Demo_Tre_Lgt,D7E6D0,D7EDF0,C17590,C17B70,808E3020,actors
ovl_En_Encount2,D7EDF0,D7F870,C17B70,C18430,808E3740,actors
ovl_En_Fire_Rock,D7F870,D7F900,C18430,C18490,808E41C0,actors
ovl_Bg_Ctower_Rot,D7F900,D7FE90,C18490,C18900,808E4250,actors
ovl_Mir_Ray,D7FE90,D817A0,C18900,C19D40,808E47E0,actors
ovl_En_Sb,D817A0,D82880,C19D40,C1A920,808E60F0,actors
ovl_En_Bigslime,D82880,D8EAC0,C1A920,C22350,808E71D0,actors
ovl_En_Karebaba,D8EAC0,D90970,C22350,C23860,808F3410,actors
ovl_En_In,D90970,D94DB0,C23860,C26260,808F52C0,actors
ovl_En_Bom_Chu,D94DB0,D963A0,C26260,C273A0,808F9700,actors
ovl_En_Horse_Game_Check,D963A0,D97700,C273A0,C28020,808FACF0,actors
