Name,VRAM start
makerom,8007F000
boot,80080060
dmadata,
Audiobank,
Audioseq,
Audiotable,
kanji,
link_animetion,
icon_item_static,
icon_item_24_static,
icon_item_field_static,
icon_item_dungeon_static,
icon_item_gameover_static,
icon_item_jpn_static,
map_i_static,
map_grand_static,
item_name_static,
map_name_static,
icon_item_static_yar,
schedule_dma_static,
schedule_static,
story_static,
do_action_static,
message_static,
message_texture_static,
nes_font_static,
jpn_message_data_static,
staff_message_data_static,
code,800A75E0
ovl_title,80800000
ovl_select,80800AD0
ovl_opening,80803FE0
ovl_file_choose,808042D0
ovl_daytelop,80814BF0
ovl_kaleido_scope,80815DE0
ovl_player_actor,8082E260
ovl_En_Test,80863060
ovl_En_GirlA,80863D70
ovl_En_Part,80865870
ovl_En_Light,80865E90
ovl_En_Door,80866CF0
ovl_En_Box,808680C0
ovl_En_Pametfrog,8086A270
ovl_En_Okuta,8086E300
ovl_En_Bom,808712F0
ovl_En_Wallmas,80874D50
ovl_En_Dodongo,80876BB0
ovl_En_Firefly,80879C30
ovl_En_Horse,8087BC00
ovl_En_Arrow,8088A7D0
ovl_En_Elf,8088CA50
ovl_En_Niw,808915A0
ovl_En_Tite,80893E10
ovl_En_Peehat,80897550
ovl_En_Holl,80899F70
ovl_En_Dinofos,8089ACF0
ovl_En_Hata,8089EEF0
ovl_En_Zl1,8089F3A0
ovl_En_Viewer,8089F430
ovl_En_Bubble,8089FAF0
ovl_Door_Shutter,808A0F00
ovl_En_Boom,808A2AE0
ovl_En_Torch2,808A37C0
ovl_En_Minifrog,808A3C80
ovl_En_St,808A5660
ovl_Obj_Wturn,808A7FE0
ovl_En_River_Sound,808A84E0
ovl_En_Ossan,808A8730
ovl_En_Famos,808AD080
ovl_En_Bombf,808AF020
ovl_En_Am,808B0430
ovl_En_Dekubaba,808B1A90
ovl_En_M_Fire1,808B5990
ovl_En_M_Thunder,808B5B20
ovl_Bg_Breakwall,808B7AC0
ovl_Door_Warp1,808B8BF0
ovl_Obj_Syokudai,808BC840
ovl_Item_B_Heart,808BD620
ovl_En_Dekunuts,808BDA10
ovl_En_Bbfall,808BFA50
ovl_Arms_Hook,808C1860
ovl_En_Bb,808C2570
ovl_Bg_Keikoku_Spr,808C4280
ovl_En_Wood02,808C4430
ovl_En_Death,808C57B0
ovl_En_Minideath,808CA8E0
ovl_En_Vm,808CCA90
ovl_Demo_Effect,808CDF70
ovl_Demo_Kankyo,808CEC80
ovl_En_Floormas,808D0EB0
ovl_En_Rd,808D4650
ovl_Bg_F40_Flift,808D7D80
ovl_Bg_Heavy_Block,808D8100
ovl_Obj_Mure,808D9980
ovl_En_Sw,808DA9F0
ovl_Object_Kankyo,808DDF30
ovl_En_Horse_Link_Child,808E0670
ovl_Door_Ana,808E2280
ovl_En_Encount1,808E2910
ovl_Demo_Tre_Lgt,808E3020
ovl_En_Encount2,808E3740
ovl_En_Fire_Rock,808E41C0
ovl_Bg_Ctower_Rot,808E4250
ovl_Mir_Ray,808E47E0
ovl_En_Sb,808E60F0
ovl_En_Bigslime,808E71D0
ovl_En_Karebaba,808F3410
ovl_En_In,808F52C0
ovl_En_Bom_Chu,808F9700
ovl_En_Horse_Game_Check,808FACF0
ovl_En_Rr,808FC050
ovl_En_Fr,808FE7A0
ovl_En_Fishing,808FE910
ovl_Obj_Oshihiki,80919500
ovl_Eff_Dust,8091ADB0
ovl_Bg_Umajump,8091C1A0
ovl_En_Insect,8091CAB0
ovl_En_Butte,8091E2B0
ovl_En_Fish,8091F840
ovl_Item_Etcetera,80922100
ovl_Arrow_Fire,80922570
ovl_Arrow_Ice,80924660
ovl_Arrow_Light,80926530
ovl_Obj_Kibako,809283E0
ovl_Obj_Tsubo,809297F0
ovl_En_Ik,8092BB40
ovl_Demo_Shd,8092E760
ovl_En_Dns,8092E7F0
ovl_Elf_Msg,80930150
ovl_En_Honotrap,809306D0
ovl_En_Tubo_Trap,809329A0
ovl_Obj_Ice_Poly,80933720
ovl_En_Fz,80934650
ovl_En_Kusa,80936BA0
ovl_Obj_Bean,80938EB0
ovl_Obj_Bombiwa,8093B570
ovl_Obj_Switch,8093CD90
ovl_Obj_Lift,8093F580
ovl_Obj_Hsblock,80940060
ovl_En_Okarina_Tag,809405E0
ovl_En_Goroiwa,80940B90
ovl_En_Daiku,809457A0
ovl_En_Nwc,80946550
ovl_Item_Inbox,809478C0
ovl_En_Ge1,80947A20
ovl_Obj_Blockstop,80948A70
ovl_En_Sda,80948CA0
ovl_En_Clear_Tag,8094A3B0
ovl_En_Gm,80950350
ovl_En_Ms,80954A90
ovl_En_Hs,809550C0
ovl_Bg_Ingate,80955F00
ovl_En_Kanban,80956DB0
ovl_En_Attack_Niw,8095A540
ovl_En_Mk,8095B760
ovl_En_Owl,8095C9C0
ovl_En_Ishi,8095FC10
ovl_Obj_Hana,80962040
ovl_Obj_Lightswitch,80962120
ovl_Obj_Mure2,80963220
ovl_En_Fu,80963C10
ovl_En_Stream,80967B80
ovl_En_Mm,809680E0
ovl_En_Weather_Tag,80968940
ovl_En_Ani,80969F00
ovl_En_Js,8096ACE0
ovl_En_Okarina_Effect,8096D5D0
ovl_En_Mag,8096D880
ovl_Elf_Msg2,80971770
ovl_Bg_F40_Swlift,80971CB0
ovl_En_Kakasi,80972130
ovl_Obj_Makeoshihiki,80974E30
ovl_Oceff_Spot,80975160
ovl_En_Torch,80976070
ovl_Shot_Sun,80976160
ovl_Obj_Roomtimer,809767C0
ovl_En_Ssh,80976A60
ovl_Oceff_Wipe,809790B0
ovl_Effect_Ss_Dust,80979E30
ovl_Effect_Ss_Kirakira,8097A620
ovl_Effect_Ss_Bomb2,8097AC90
ovl_Effect_Ss_Blast,8097B4F0
ovl_Effect_Ss_G_Spk,8097B850
ovl_Effect_Ss_D_Fire,8097BDD0
ovl_Effect_Ss_Bubble,8097C1E0
ovl_Effect_Ss_G_Ripple,8097C750
ovl_Effect_Ss_G_Splash,8097CC70
ovl_Effect_Ss_G_Fire,8097D090
ovl_Effect_Ss_Lightning,8097D2A0
ovl_Effect_Ss_Dt_Bubble,8097D980
ovl_Effect_Ss_Hahen,8097DE90
ovl_Effect_Ss_Stick,8097E430
ovl_Effect_Ss_Sibuki,8097E6F0
ovl_Effect_Ss_Stone1,8097ED50
ovl_Effect_Ss_Hitmark,8097F0B0
ovl_Effect_Ss_Fhg_Flash,8097F5B0
ovl_Effect_Ss_K_Fire,80980030
ovl_Effect_Ss_Solder_Srch_Ball,80980470
ovl_Effect_Ss_Kakera,809808C0
ovl_Effect_Ss_Ice_Piece,80981900
ovl_Effect_Ss_En_Ice,80981D00
ovl_Effect_Ss_Fire_Tail,809824B0
ovl_Effect_Ss_En_Fire,80982B90
ovl_Effect_Ss_Extra,80983200
ovl_Effect_Ss_Dead_Db,80983570
ovl_Effect_Ss_Dead_Dd,80983980
ovl_Effect_Ss_Dead_Ds,80983F10
ovl_Oceff_Storm,80984390
ovl_Obj_Demo,80986150
ovl_En_Minislime,80986520
ovl_En_Nutsball,80988870
ovl_Oceff_Wipe2,80988EA0
ovl_Oceff_Wipe3,8098A630
ovl_En_Dg,8098BDB0
ovl_En_Si,8098F690
ovl_Obj_Comb,8098FAB0
ovl_Obj_Kibako2,80991230
ovl_En_Hs2,80991BD0
ovl_Obj_Mure3,80991CB0
ovl_En_Tg,80992470
ovl_En_Wf,80992F80
ovl_En_Skb,80997420
ovl_En_Gs,8099A6E0
ovl_Obj_Sound,8099D560
ovl_En_Crow,8099D770
ovl_En_Cow,8099EED0
ovl_Oceff_Wipe4,809A03C0
ovl_En_Zo,809A13F0
ovl_Effect_Ss_Ice_Smoke,809A2390
ovl_Obj_Makekinsuta,809A26A0
ovl_En_Ge3,809A2B10
ovl_Obj_Hamishi,809A3B80
ovl_En_Zl4,809A4810
ovl_En_Mm2,809A4C90
ovl_Door_Spiral,809A57C0
ovl_Obj_Pzlblock,809A6040
ovl_Obj_Toge,809A6E20
ovl_Obj_Armos,809A7A60
ovl_Obj_Boyo,809A8970
ovl_En_Grasshopper,809A8EE0
ovl_Obj_Grass,809ABD90
ovl_Obj_Grass_Carry,809ADAE0
ovl_Obj_Grass_Unit,809AEA60
ovl_Bg_Fire_Wall,809AF130
ovl_En_Bu,809AF9E0
ovl_En_Encount3,809AFB90
ovl_En_Jso,809B0530
ovl_Obj_Chikuwa,809B41A0
ovl_En_Knight,809B4D40
ovl_En_Warp_tag,809C3550
ovl_En_Aob_01,809C3ED0
ovl_En_Boj_01,809C6C90
ovl_En_Boj_02,809C6D20
ovl_En_Boj_03,809C6DB0
ovl_En_Encount4,809C6E40
ovl_En_Bom_Bowl_Man,809C76A0
ovl_En_Syateki_Man,809C9420
ovl_Bg_Icicle,809CC990
ovl_En_Syateki_Crow,809CD320
ovl_En_Boj_04,809CE130
ovl_En_Cne_01,809CE1C0
ovl_En_Bba_01,809CEF90
ovl_En_Bji_01,809CFD10
ovl_Bg_Spdweb,809D0DE0
ovl_En_Mt_tag,809D2270
ovl_Boss_01,809D3440
ovl_Boss_02,809DD0E0
ovl_Boss_03,809E5690
ovl_Boss_04,809EEF80
ovl_Boss_05,809F1450
ovl_Boss_06,809F50B0
ovl_Boss_07,809F7910
ovl_Bg_Dy_Yoseizo,80A0D860
ovl_En_Boj_05,80A0F740
ovl_En_Sob1,80A0F7D0
ovl_En_Go,80A14060
ovl_En_Raf,80A19DF0
ovl_Obj_Funen,80A1C7F0
ovl_Obj_Raillift,80A1C9C0
ovl_Bg_Numa_Hana,80A1D5B0
ovl_Obj_Flowerpot,80A1E480
ovl_Obj_Spinyroll,80A20B00
ovl_Dm_Hina,80A224C0
ovl_En_Syateki_Wf,80A22F00
ovl_Obj_Skateblock,80A24200
ovl_Effect_En_Ice_Block,80A25DF0
ovl_Obj_Iceblock,80A26140
ovl_En_Bigpamet,80A2A5D0
ovl_Bg_Dblue_Movebg,80A2CB30
ovl_En_Syateki_Dekunuts,80A2ECB0
ovl_Elf_Msg3,80A2FDC0
ovl_En_Fg,80A30330
ovl_Dm_Ravine,80A31850
ovl_Dm_Sa,80A31A10
ovl_En_Slime,80A31E50
ovl_En_Pr,80A352C0
ovl_Obj_Toudai,80A36BC0
ovl_Obj_Entotu,80A377C0
ovl_Obj_Bell,80A38570
ovl_En_Syateki_Okuta,80A39050
ovl_Obj_Shutter,80A3AF30
ovl_Dm_Zl,80A3B1F0
ovl_En_Ru,80A3BA00
ovl_En_Elfgrp,80A3C710
ovl_Dm_Tsg,80A3DCE0
ovl_En_Baguo,80A3E100
ovl_Obj_Vspinyroll,80A3F560
ovl_Obj_Smork,80A40700
ovl_En_Test2,80A41410
ovl_En_Test3,80A41860
ovl_En_Test4,80A44E30
ovl_En_Bat,80A46870
ovl_En_Sekihi,80A48010
ovl_En_Wiz,80A48730
ovl_En_Wiz_Brock,80A4C3B0
ovl_En_Wiz_Fire,80A4CA90
ovl_Eff_Change,80A4F880
ovl_Dm_Statue,80A4FDA0
ovl_Obj_Fireshield,80A4FE80
ovl_Bg_Ladder,80A50DE0
ovl_En_Mkk,80A512C0
ovl_Demo_Getitem,80A52E30
ovl_En_Dnb,80A531F0
ovl_En_Dnh,80A54160
ovl_En_Dnk,80A54910
ovl_En_Dnq,80A55950
ovl_Bg_Keikoku_Saku,80A56C30
ovl_Obj_Hugebombiwa,80A57090
ovl_En_Firefly2,80A59570
ovl_En_Rat,80A59600
ovl_En_Water_Effect,80A5BC50
ovl_En_Kusa2,80A5E610
ovl_Bg_Spout_Fire,80A63FD0
ovl_En_Dy_Extra,80A64760
