name,vrom_start,vrom_end,rom_start,rom_end,vram_start,overlay_dir
boot,1060,1A500,1060,0,80080060,
code,B3C000,C7A4E0,A684D0,B26590,800A5AC0,
ovl_title,C7A4E0,C7ADF0,B26590,B26C80,80800000,gamestates
ovl_select,C7ADF0,C7E2D0,B26C80,B28BC0,80800910,gamestates
ovl_opening,C7E2D0,C7E4F0,B28BC0,B28DA0,80803DF0,gamestates
ovl_file_choose,C7E4F0,C8F360,B28DA0,B326E0,80804010,gamestates
ovl_daytelop,C8F360,C90550,B326E0,B32E30,80814EB0,gamestates
ovl_kaleido_scope,C90550,CA7F00,B32E30,B41010,808160A0,kaleido_scope
ovl_player_actor,CA7F00,CDCF60,B41010,B64BF0,8082DA90,actors
ovl_En_Test,CDCF60,CDDC60,B64BF0,B65680,80862B70,actors
ovl_En_GirlA,CDDC60,CDF760,B65680,B66340,80863870,actors
ovl_En_Part,CDF760,CDFD80,B66340,B66890,80865370,actors
ovl_En_Light,CDFD80,CE0BF0,B66890,B672A0,80865990,actors
ovl_En_Door,CE0BF0,CE1FB0,B672A0,B68230,80866800,actors
ovl_En_Box,CE1FB0,CE4170,B68230,B69AD0,80867BD0,actors
ovl_En_Pametfrog,CE4170,CE8200,B69AD0,B6C550,80869D90,actors
ovl_En_Okuta,CE8200,CEB190,B6C550,B6E680,8086DE20,actors
ovl_En_Bom,CEB190,CEEA30,B6E680,B70B20,80870DB0,actors
ovl_En_Wallmas,CEEA30,CF0890,B70B20,B720A0,80874810,actors
ovl_En_Dodongo,CF0890,CF3910,B720A0,B742E0,80876670,actors
ovl_En_Firefly,CF3910,CF5950,B742E0,B75930,808796F0,actors
ovl_En_Horse,CF5950,D04460,B75930,B7E2D0,8087B730,actors
ovl_En_Arrow,D04460,D06730,B7E2D0,B7FB80,8088A240,actors
ovl_En_Elf,D06730,D0B280,B7FB80,B82EE0,8088C510,actors
ovl_En_Niw,D0B280,D0DA10,B82EE0,B84C40,80891060,actors
ovl_En_Tite,D0DA10,D11150,B84C40,B87180,808937F0,actors
ovl_En_Peehat,D11150,D13B80,B87180,B88E90,80896F30,actors
ovl_En_Holl,D13B80,D14900,B88E90,B898D0,80899960,actors
ovl_En_Dinofos,D14900,D18B00,B898D0,B8C470,8089A6E0,actors
ovl_En_Hata,D18B00,D18FB0,B8C470,B8C8A0,8089E8E0,actors
ovl_En_Zl1,D18FB0,D19040,B8C8A0,B8C900,8089ED90,actors
ovl_En_Viewer,D19040,D196F0,B8C900,B8CDF0,8089EE20,actors
ovl_En_Bubble,D196F0,D1AB00,B8CDF0,B8DD30,8089F4E0,actors
ovl_Door_Shutter,D1AB00,D1C6E0,B8DD30,B8F150,808A08F0,actors
ovl_En_Boom,D1C6E0,D1D3C0,B8F150,B8FC50,808A24D0,actors
ovl_En_Torch2,D1D3C0,D1D880,B8FC50,B90070,808A31B0,actors
ovl_En_Minifrog,D1D880,D1F260,B90070,B912F0,808A3670,actors
ovl_En_St,D1F260,D21B40,B912F0,B92FB0,808A5050,actors
ovl_Obj_Wturn,D21B40,D22040,B92FB0,B933A0,808A7930,actors
ovl_En_River_Sound,D22040,D222B0,B933A0,B935E0,808A7E30,actors
ovl_En_Ossan,D222B0,D26B30,B935E0,B961B0,808A80A0,actors
ovl_En_Famos,D26B30,D28AD0,B961B0,B97680,808AC920,actors
ovl_En_Bombf,D28AD0,D29EE0,B97680,B98640,808AE8C0,actors
ovl_En_Am,D29EE0,D2B540,B98640,B99660,808AFCD0,actors
ovl_En_Dekubaba,D2B540,D2F440,B99660,B9BFB0,808B1330,actors
ovl_En_M_Fire1,D2F440,D2F5D0,B9BFB0,B9C0F0,808B5230,actors
ovl_En_M_Thunder,D2F5D0,D31570,B9C0F0,B9D580,808B53C0,actors
ovl_Bg_Breakwall,D31570,D326A0,B9D580,B9E170,808B7360,actors
ovl_Door_Warp1,D326A0,D36210,B9E170,BA0830,808B8490,actors
ovl_Obj_Syokudai,D36210,D36FE0,BA0830,BA1360,808BC010,actors
ovl_Item_B_Heart,D36FE0,D373D0,BA1360,BA1690,808BCDF0,actors
ovl_En_Dekunuts,D373D0,D39410,BA1690,BA2C00,808BD1E0,actors
ovl_En_Bbfall,D39410,D3B220,BA2C00,BA4300,808BF220,actors
ovl_Arms_Hook,D3B220,D3BF30,BA4300,BA4D50,808C1030,actors
ovl_En_Bb,D3BF30,D3DC40,BA4D50,BA6300,808C1D40,actors
ovl_Bg_Keikoku_Spr,D3DC40,D3DDF0,BA6300,BA6470,808C3A50,actors
ovl_En_Wood02,D3DDF0,D3F160,BA6470,BA73C0,808C3C00,actors
ovl_En_Death,D3F160,D44290,BA73C0,BAAC30,808C4F80,actors
ovl_En_Minideath,D44290,D46430,BAAC30,BAC3D0,808CA0B0,actors
ovl_En_Vm,D46430,D47910,BAC3D0,BAD3B0,808CC260,actors
ovl_Demo_Effect,D47910,D48620,BAD3B0,BADE50,808CD740,actors
ovl_Demo_Kankyo,D48620,D4A850,BADE50,BAF4A0,808CE450,actors
ovl_En_Floormas,D4A850,D4DFF0,BAF4A0,BB17C0,808D0680,actors
ovl_En_Rd,D4DFF0,D51720,BB17C0,BB38A0,808D3E20,actors
ovl_Bg_F40_Flift,D51720,D51AA0,BB38A0,BB3B70,808D7550,actors
ovl_Obj_Mure,D51AA0,D52B10,BB3B70,BB46F0,808D78D0,actors
ovl_En_Sw,D52B10,D56050,BB46F0,BB6C40,808D8940,actors
ovl_Object_Kankyo,D56050,D58780,BB6C40,BB8700,808DBE80,actors
ovl_En_Horse_Link_Child,D58780,D5A360,BB8700,BB9790,808DE5C0,actors
ovl_Door_Ana,D5A360,D5A9F0,BB9790,BB9CD0,808E01A0,actors
ovl_En_Encount1,D5A9F0,D5B000,BB9CD0,BBA1D0,808E0830,actors
ovl_Demo_Tre_Lgt,D5B000,D5B720,BBA1D0,BBA7B0,808E0E40,actors
ovl_En_Encount2,D5B720,D5C1A0,BBA7B0,BBB070,808E1560,actors
ovl_En_Fire_Rock,D5C1A0,D5C230,BBB070,BBB0D0,808E1FE0,actors
ovl_Bg_Ctower_Rot,D5C230,D5C7C0,BBB0D0,BBB540,808E2070,actors
ovl_Mir_Ray,D5C7C0,D5E0B0,BBB540,BBC980,808E2600,actors
ovl_En_Sb,D5E0B0,D5F180,BBC980,BBD550,808E3EF0,actors
ovl_En_Bigslime,D5F180,D6B3C0,BBD550,BC4F90,808E4FC0,actors
ovl_En_Karebaba,D6B3C0,D6D270,BC4F90,BC64B0,808F1200,actors
ovl_En_In,D6D270,D71670,BC64B0,BC8E60,808F30B0,actors
ovl_En_Bom_Chu,D71670,D72C60,BC8E60,BC9FB0,808F74B0,actors
ovl_En_Horse_Game_Check,D72C60,D73FC0,BC9FB0,BCAC30,808F8AA0,actors
ovl_En_Rr,D73FC0,D76710,BCAC30,BCC920,808F9E00,actors
ovl_En_Fr,D76710,D76880,BCC920,BCCA40,808FC550,actors
ovl_En_Fishing,D76880,D8A370,BCCA40,BD9F00,808FC6C0,actors
ovl_Obj_Oshihiki,D8A370,D8BC20,BD9F00,BDB030,80917290,actors
ovl_Eff_Dust,D8BC20,D8D010,BDB030,BDBCB0,80918B40,actors
ovl_Bg_Umajump,D8D010,D8D980,BDBCB0,BDC370,80919F30,actors
